C,D,E,F,G,H,I,Q,R,X,Y
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,PLANT1-SURGEBASIN,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,NO,NA,NO,All Groundwater,YES,Remediation Oil,NO
,,,,NO,NA,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK3801-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,yes,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-SPIDERBOXOMD,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,"Spider Sump, Aqueous Layer",NO,"Spider Sump, Oil Layer",NO
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-CRUDEDOCKSSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,YES,Crude,NO,Crude,NO
,,,,NO,VAC PAD,NO,Crude,NO,Crude,NO
METRO,METRO-EASTOFTHEDITCH,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,Crude,NO,Crude,NO
,,,,YES,VAC PAD,NO,All Groundwater,YES,All Groundwater,YES
METRO,METRO-WESTOFTHEDITCH,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-NORTHOFTHEFENCELINE,P1N-MONITORINGTRENCHESNORTHOFPOND/SWALE,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-NORTHOFTHEFENCELINE,P1N-SUMPS/WELLS/TRENCHES(CLEANTRUCK),OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,Crude,NO,Crude,NO
,,,,YES,VAC PAD,YES,All Groundwater,YES,All Groundwater,YES
PLANT1-UNIT039-FLARE,PLANT1-FLARESUMP,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
,,,,YES,VAC PAD,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
,,,,NO,NA,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,PLANT1-SURGEBASIN,SLUDGEANDWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Sludge,NO,Sludge,NO
,,,,NO,NA,NO,Sludge,NO,Sludge,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4516,OIL,PLANT1-CENTRIFUGEFRACTANKS,YES,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,YES,TO,NO,TK-4516 Slop Oil Tank,NO,TK-4516 Slop Oil Tank,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4508-DGF,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
,,,,YES,VAC PAD,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK26-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Crude,NO,Crude,NO
,,,,YES,VAC PAD,NO,CRUDE,NO,CRUDE,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK20-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,YES,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,NO,VAC PAD,NO,Tank 20 Water Draw,NO,Tank 20 Water Draw,NO
PLANT1-UNIT039-FLARE,PLANT1-DRUMD-322CONTAINMENT-STORMWATER/WATER,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4508-DGF,WATER,PLANT1-VACPAD,YES,VAC PAD,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
,,,,YES,VAC PAD,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
CRUDEDOCKSUNLOADING,CRUDEDOCKS-UNDERGROUNDTANK-TANK101,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,YES,T-101 Underground Storage Tank Aqueous,YES,T-101 Underground Storage Tank Oil,NO
,,,,YES,VAC PAD,NO,T-101 Underground Storage Tank Aqueous,YES,T-101 Underground Storage Tank Oil,NO
,,,,NO,NA,YES,T-101 Underground Storage Tank Aqueous,YES,T-101 Underground Storage Tank Oil,NO
PLANT3-UNIT032-ASPHALTBLENDINGANDLOADING,PLANT3-AUGASOILPADPUMPCONTAINMENT,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Gas Oil,NO,Gas Oil,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4504-DGF,OIL,PLANT1-CENTRIFUGEFRACTANKS,YES,TO,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
,,,,YES,TO,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK72-SUMP/WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,YES,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK74-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Jet,NO,Jet,NO
,,,,YES,VAC PAD,NO,Jet,NO,Jet,NO
,,,,YES,NA,NO,Jet,NO,Jet,NO
,,,,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK70-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Reformate,NO,Reformate,NO
,,,,YES,VAC PAD,NO,REFORMATE,NO,REFORMATE,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK64/65/66-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,YES,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-CRUDEUNLOADINGSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Crude,NO,Crude,NO
,,,,YES,VAC PAD,NO,Crude,NO,Crude,NO
,,,,NO,NA,NO,Crude,NO,Crude,NO
,,,,NO,VAC PAD,NO,CRUDE,NO,CRUDE,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-SAMPLEPOINTS#2OMD,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,YES,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,NO,VAC PAD,NO,Tank 20 Water Draw,NO,Tank 20 Water Draw,NO
,,,,NO,VAC PAD,NO,Tank 20 Water Draw,NO,Slop Oil Tank 20,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-DRUMD-815MATERIAL,DIESEL,PLANT1-TANK58,YES,TO,NO,Diesel,NO,Diesel,NO
,,,,YES,TK-58,NO,Diesel,NO,Diesel,NO
,,,,YES,TK-58,NO,DIESEL,NO,DIESEL,NO
,,,,YES,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT039-FLARE,PLANT1-DRUMD-3901MATERIAL,SOURWATER,PLANT1-DRUMD-3901,YES,PLANT 1 - DRUM D-3901,NO,Sour Water,NO,Sour Water,NO
,,,,YES,D-3901,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
,,,,YES,D-3901,NO,Sour Water,NO,Sour Water,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-SAMPLEPOINTS-ENVIRONMENTAL,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
,,,,NO,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,YES,VAC PAD,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
,,,,NO,NA,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,YES
,,,,NO,NA,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
PLANT1-NORTHOFTHEFENCELINE,P1N-SUMPS/WELLS/TRENCHES(CLEANTRUCK),GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-NORTHOFTHEFENCELINE,P1N-TANK29,GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-NORTHOFTHEFENCELINE,P1N-TANK31,GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,GWTSTANK7,GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,GWTSTANK8,GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
DENVERTRUCKTERMINAL,DENVERTERMINAL-6000GALSLOPTANK,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
,,,,NO,NA,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
DENVERTRUCKTERMINAL,DENVERTERMINAL-6000GALSLOPTANK,DIESELANDGAS,PLANT2-TANK20,NO,TANK 20,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
,,,,NO,TO,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
,,,,NO,Tank 20,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
PLANT3-UNIT032-ASPHALTBLENDINGANDLOADING,PLANT3-CPI,SOURWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Sour Water,NO,Sour Water,NO
,,,,NO,VAC PAD,NO,Raw Sour Water,NO,Raw Sour Water,NO
PLANT1-NORTHOFTHEFENCELINE,P1N-TANK4(CLEANTRUCK),GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,GWTSTANK5,GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT3-UNIT032-ASPHALTBLENDINGANDLOADING,PLANT3-CPICONTAINMENT,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,CPI Effluent Aqueous,YES,CPI Effluent Oil,NO
PLANT3-UNIT032-ASPHALTBLENDINGANDLOADING,PLANT3-VAPORBBLS,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Gas Oil,NO,Gas Oil,NO
,,,,YES,VAC PAD,NO,Gas Oil,NO,Gas Oil,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-2NDLAGOON,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
,,,,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,YES
,,,,NO,VAC PAD,NO,Fourth Lagoon,NO,Fourth Lagoon,NO
PLANT1-NORTHOFTHEFENCELINE,P1N-TANK2(CLEANTRUCK),GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK45-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,no,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK62-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,YES,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,NO,VAC PAD,NO,Jet,NO,Jet,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK3801-WATERDRAW,DIESEL,PLANT1-TANK778FRACTANK,NO,Uncontrolled,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,NO,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Diesel,NO
,,,,NO,Uncontrolled,NO,Ultra Low Sulfur Diesel,NO,Diesel,NO
DENVERTRUCKTERMINAL,PLANT1-PIPELINE,GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,NO
,,,,YES,TANK 20,NO,Gasoline,NO,Gasoline,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK67-WATERDRAW,CAUSTICANDWATER,PLANT1-GREENFRACTANKBYVACPAD,YES,VAC PAD,NO,"Naphtha, Light",NO,"Naphtha, Light",NO
,,,,YES,VAC PAD,NO,"NAPHTHA, LIGHT",NO,"NAPHTHA, LIGHT",NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK1-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Naphtha,NO,Naphtha,NO
,,,,YES,VAC PAD,NO,NAPHTHA,NO,NAPHTHA,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK78-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,NO
,,,,YES,VAC PAD,NO,Gasoline,NO,Gasoline,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK55-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,NO
,,,,YES,VAC PAD,NO,Gasoline,NO,Gasoline,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK2007-CONTAINMENT,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,PLANT1-SURGEBASINSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,NO,NA,NO,All Groundwater,YES,Remediation Oil,NO
,,,,NO,NA,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK2-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Distillate,NO,Distillate,NO
,,,,YES,VAC PAD,NO,DISTILLATE,NO,DISTILLATE,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK96/97-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,NO
,,,,YES,VAC PAD,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,NO
PLANT1-NORTHOFTHEFENCELINE,P1N-TANK3(CLEANTRUCK),GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-MORGANBOX,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Prooper Pit,YES,Prooper Pit,YES
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,GWTSTANK14,GASOLINE,PLANT2-TANK20,YES,TANK 20,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,Tank 20,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-OLDAPIS,SLUDGE,PLANT1-CENTRIFUGEFRACTANKS,YES,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
,,,,NO,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
DENVERTRUCKTERMINAL,PLANT1-PIPELINE,DIESEL,PLANT2-TANK20,YES,TANK 20,NO,Diesel,NO,Diesel,NO
,,,,YES,Tank 20,NO,Diesel,NO,Diesel,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK37-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Naphtha,NO,Naphtha,NO
,,,,NO,VAC PAD,NO,NAPHTHA,NO,NAPHTHA,""
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-OLDAPISBBAY,SLUDGE,PLANT1-CENTRIFUGEFRACTANKS,YES,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
,,,,NO,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
PLANT1-STORMWATER,PLANT1-MAINGATE-STORMWATER,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4517-SLUDGE,OIL,PLANT1-CENTRIFUGEFRACTANKS,NO,VAC PAD,NO,sludge processing,NO,sludge processing,NO
,,,,NO,VAC PAD,NO,treated sludge,NO,treated sludge,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-4THLAGOON,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
,,,,YES,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
,,,,NO,NA,NO,Fourth Lagoon,YES,Fourth Lagoon,YES
,,,,NO,NA,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
,,,,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,YES
PLANT3-UNIT032-ASPHALTBLENDINGANDLOADING,PLANT3-AUGASOILPAD,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Gas Oil,NO,Gas Oil,NO
,,,,NO,NA,NO,Gas Oil,NO,Gas Oil,NO
PLANT3-UNIT032-ASPHALTBLENDINGANDLOADING,PLANT3-AUSCALEHOUSE-STORMWATER,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4518-SLUDGE,OIL,PLANT1-CENTRIFUGEFRACTANKS,NO,VAC PAD,NO,sludge processing,NO,sludge processing,NO
