date,vacuum_truck_number,unit,vacuum_truck_movement_description,vacuum_truck_material_description,offload_sitewaste_destination,controlled_yes_no,destination_benzene_control_description,,,total_waste_quantity_bbls,,vac_truck_log_water_content
09/01/2013,LV-1,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,1.5,,99%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,0.75,,<10%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,12,,<10%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1N - Tank 29 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,9,,<10%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sump 29 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,1,,<10%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,28,,<10%
09/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,80,,>90%
09/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 58 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,>90%
09/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/02/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - LIQUID UNDERGROUND STORAGE TANK,GASOLINE,PLANT 2 - TANK 20,,TANK 20,,,10,,<10%
09/02/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 20 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/02/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/03/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4516 - SLUDGE,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,360,,<10%
09/03/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,55,,>90%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 776 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,>90%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,>90%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 52 - PUMP CONTAINMENT,WASH WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - ETHANOL DRUMS,ETHANOL,PLANT 1 - VAC PAD,,VAC PAD,,,1,,<10%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 72 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,>90%
09/03/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - FLARE SUMP,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/04/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - SAMPLE POINTS - ENVIRONMENTAL,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/04/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,>90%
09/04/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/04/2013,LV-1,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/04/2013,LV-2,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - OLD CRUDE LINE T10/T11,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,0.5,,70-90%
09/04/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/04/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 64/65/66 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,>90%
09/05/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE SETTLER,CRUDE,PLANT 2 - TANK 20,,TANK 20,,,105,,<10%
09/05/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE SETTLER- BAY 3,CRUDE,PLANT 2 - TANK 20,,TANK 20,,,12,,<10%
09/05/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE  SUMP,CRUDE,PLANT 2 - TANK 20,,TANK 20,,,5,,<10%
09/05/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,6,,99%
09/05/2013,LV-4,PLANT 2 - water draws,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,1,,99%
09/05/2013,LV-4,PLANT 2 - water draws,PLANT 2 - TANK 45 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,99%
09/05/2013,LV-4,PLANT 2 - water draws,PLANT 2 - TANK 57 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/05/2013,LV-4,PLANT 2 - water draws,PLANT 2 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,1,,99%
09/05/2013,LV-2,PLANT 2 - UNIT 070 - WASTE WATER,PLANT 2 - MIDDLE API,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,16,,>90%
09/05/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - FLARE SUMP,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/05/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,3,,99%
09/05/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - CRUDE UNLOADING SUMP,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,3,,>90%
09/05/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,>90%
09/05/2013,LV-2,PLANT 2 - UNIT 070 - WASTE WATER,PLANT 2 - MIDDLE API,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/05/2013,LV-2,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,>90%
09/05/2013,LV-2,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 20,,TANK 20,,,15,,<10%
09/05/2013,LV-5,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 ,DIESEL,PLANT 1 - TANK 34,,,,,60,,<10%
09/05/2013,LV-4,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 ,DIESEL,PLANT 1 - TANK 34,,,,,60,,<10%
09/05/2013,LV-8,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801,DIESEL,PLANT 1 - TANK 34,,,,,120,,<10%
09/05/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4508 - DGF,DIESEL,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,55,,<10%
09/05/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/05/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - FINGER LAKE,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/05/2013,LV-1,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801,DIESEL,PLANT 1 - TANK 4508,,,,,60,,<10%
09/06/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,18,,<10%
09/06/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,10,,<10%
09/06/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,9.5,,<10%
09/06/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1N - Tank 29 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,9.5,,<10%
09/06/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,52,,99%
09/06/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - 3RD LAGOON,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/06/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4513 - SLUDGE,SLUDGE,PLANT 1 - TANK 29,,,,,100,,<10%
09/06/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 27 - SLUDGE,SLUDGE,PLANT 1 - TANK 29,,,,,20,,<10%
09/06/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - CENTRIFUGE ,WASH WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/06/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,>90%
09/06/2013,LV-106,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 34,DIESEL,PLANT 2 - TANK 20,,TANK 20,,,60,,<10%
09/06/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 34 ,DIESEL,PLANT 2 - TANK 20,,TANK 20,,,170,,<10%
09/06/2013,LV-106,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 ,DIESEL,PLANT 1 - TANK 34,,,,,240,,<10%
09/06/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 ,DIESEL,PLANT 1 - TANK 34,,,,,240,,<10%
09/06/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/06/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,40,,>90%
09/06/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,>90%
09/07/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,1,,99%
09/07/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,13,,<10%
09/07/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,6,,<10%
09/07/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,8,,<10%
09/07/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1N - Tank 29 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,7,,<10%
09/07/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank WBTR-03 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,3,,<10%
09/07/2013,LV-7,PLANT 1 - LABORATORY (ENVIRONMENTAL AREAS),PLANT 1- GRONDWATER RECOVERY TANKS - SAND CREEK TK-3,SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,6,,<10%
09/07/2013,LV-7,PLANT 1 - LABORATORY (ENVIRONMENTAL AREAS ),PLANT 1- GROUNDWATER RECOVERY TANKS SAND CREEK TK-4,SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,3,,<10%
09/07/2013,LV-7,PLANT 1 - LABORATORY (ENVIRONMENTAL  AREAS),PLANT 1 -GROUNDWATER RECOVERY TANKS - SAND CREEK- TK-7,SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,4,,<10%
09/08/2013,LV-1,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/08/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - AU GAS OIL PAD PUMP CONTAINMENT,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,15,,99%
09/08/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - WASTE OIL DRUM,OIL,PLANT 1 - VAC PAD,,VAC PAD,,,0.25,,<10%
09/08/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - VAPOR BBLS,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,0.75,,>90%
09/08/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - CPI CONTAINMENT,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,99%
09/08/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - CRUDE TRUCK UNLOAD LINE,CRUDE,PLANT 1 - TANK 58,,,,,10,,<10%
09/09/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,old pond area,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,70,,99%
09/09/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 67 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,1,,>90%
09/09/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - PUMP P-809 - DRAIN / FLUSH,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,>90%
09/09/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 774 - PUMP CONTAINMENT ,WASH WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/09/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/09/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - FLARE SUMP,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/09/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/09/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,40,,>90%
09/09/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 58 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,>90%
09/09/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,120,,99%
09/09/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4516 ,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,300,,<10%
09/09/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/09/2013,,,,,,,,,,,,
09/09/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,56,,99%
09/09/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,18,,99%
09/09/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - MAIN GATE - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,99%
09/09/2013,LV-2,PLANT 1 - STORMWATER,NELSON BUILDING,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,120,,99%
09/10/2013,LV-1,PLANT 2 - UNIT 003 - #2 POLYMERIZATION,PLANT 2 - JOHNSONS RESERVOIR ,STORMWATER,PLANT 2 - LOWER API,,,,,418,,99%
09/10/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1N - by Tank 30,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/10/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,NELSON BUILDING,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,120,,99%
09/10/2013,LV-1,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 2007 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 52 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - SEWER OMD 1 WEST SIDE,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/10/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - P314 T52 DRAIN / WATER WASH,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,>90%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
